Employer.Name,CBA.File,Location,Union,Expiration.Date,NAICS.,X.Wrkrs,Type
ROSEBURG FOREST PRODUCTS CO.,113,OR ROSEBURG,CARPENTERS IND (CJA) LOCAL UNION 2949,2012-06-01,321912,2200,PRIVATE
ROSEBURG FOREST PRODUCTS CO. (RIDDLE REW FACILITY),2477,OR,CARPENTERS IND (CJA) LOCAL UNION 2949,2020-05-31,NA,NA,PRIVATE
"RUAN TRANSPORT CORPORATION (JOHNSON CONTROLS, INC. ACCOUNT)",2257,DE,TEAMSTERS (IBT) LOCAL UNION 326 GENERAL TEAMSTERS,2019-11-30,NA,NA,PRIVATE
S.B. FOOT TANNING COMPANY,2426,MN,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 335,2012-03-31,NA,NA,PRIVATE
SABINE AREA CONTRACTORS (NEW CONSTRUCTION),1290,TX BEAUMONT,PLUMBERS AFL-CIO (PPF) LOCAL UNION 195,2004-08-31,23822,1000,PRIVATE
SAFEWAY (FOOD AGREEMENT) MOA,626,CA NORTHERN,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 101/FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 5/FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 648,2011-10-08,445110,14000,PRIVATE
SAFEWAY (FOOD AGREEMENT) MOA,627,CA NORTHERN,UFCW 8 LOCALS,2007-12-01,445110,14000,PRIVATE
SAFEWAY INC,680,CO DENVER,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-10-19,445110,1000,PRIVATE
SAFEWAY INC.,557,AK ANCHORAGE,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1496,2006-05-31,445110,1600,PRIVATE
SAFEWAY INC.,628,DC MD VA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 400,2012-03-31,445110,9700,PRIVATE
SAFEWAY INC.,629,DC MD VA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 400,2008-03-29,445110,9700,PRIVATE
SAFEWAY INC.,672,MD BALTIMORE,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 27,2004-03-27,445110,1800,PRIVATE
SAFEWAY INC. (CLERKS),638,AZ,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 99 R,2008-10-25,445110,2500,PRIVATE
SAFEWAY INC. (GROCERY CLERKS),644,CO DENVER,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-10-19,445110,4500,PRIVATE
SAFEWAY INC. (GROCERY CLERKS),645,CO DENVER,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2004-10-16,445110,4500,PRIVATE
SAFEWAY INC. (MEAT DEPTS),681,CO DENVER,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2009-06-13,445110,1000,PRIVATE
SAFEWAY INC. (MEAT DEPTS),682,CO DENVER,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2004-10-16,445110,1000,PRIVATE
"SAFWAY SERVICES, LLC/BRAND ENERGY SERVICES, LLC/PERFORMANCE CONTRACTING, INC.",2390,WA,CJA PACIFIC NORTHWEST REGIONAL COUNCIL,2019-05-31,NA,NA,PRIVATE
SAINT-GOBAIN CONTAINERS (AUTO MACH DEPT),181,"NATIONAL",GMP VARIOUS LOCALS,2008-03-31,327213,1000,PRIVATE
SAINT-GOBAIN CONTAINERS CO. (AUTO MACH DEPT),182,FL INDIALANTIC,GLASS MOLDERS PLASTICS AFL-CIO (GMP) LOCAL UNION 111/GLASS MOLDERS PLASTICS AFL-CIO (GMP) LOCAL UNION 39/GLASS MOLDERS PLASTICS AFL-CIO (GMP) LOCAL UNION 50 B,2005-03-31,327213,1600,PRIVATE
"SAINT-GOBAIN CONTAINERS, INC.",190,"NATIONAL",GMP VARIOUS LOCALS,2008-03-31,327213,1600,PRIVATE
SAINT-GOBAIN INC. (WAS BALL-FOSTER GLASS CO) (P&M),186,FL INDIALANTIC,GMP VARIOUS LOCALS,2008-03-31,327213,2200,PRIVATE
SAINT-GOBAIN INC. (WAS BALL-FOSTER GLASS CO) (P&M),187,FL INDIALANTIC,GLASS MOLDERS PLASTICS AFL-CIO (GMP) LOCAL UNION 111/GLASS MOLDERS PLASTICS AFL-CIO (GMP) LOCAL UNION 39,2005-03-31,327213,2200,PRIVATE
SALT RIVER VALLEY WATER USERS' ASSOCIATION,2244,AZ,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 266,2002-11-15,NA,NA,PRIVATE
SAN ANDREAS REGIONAL CENTER,2035,CA,SERVICE EMPLOYEES (SEIU) LOCAL UNION 521,2011-08-31,62211,48409,PRIVATE
SAN DIEGO GAS & ELECTRIC CO.,513,CA SAN DIEGO,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 465,2004-08-31,221,1500,PRIVATE
SAN DIEGO GAS & ELECTRIC CO.,514,CA SAN DIEGO,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 465,2015-08-31,211,1500,PRIVATE
"SAN DIEGO HOSPITAL ASSOCIATION, DBA SHARP HEALTHCARE",796,CA SAN DIEGO,UNAC -,2007-05-31,62211,3500,PRIVATE
SAN FRANCISCO ELECTRICAL CONTRACTORS ASSOCIATION (INSIDE),1328,CA SAN FRAN,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 6,2005-05-31,23821,1150,PRIVATE
SAN FRANCISCO MAINT CONTRACTORS ASSOCIATION (EVERGREEN),730,CA,SERVICE EMPLOYEES (SEIU) LOCAL UNION 87,2012-07-31,56172,4000,PRIVATE
SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY,2027,CA,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 6,2014-06-30,23821,2307,PRIVATE
SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY,2028,CA,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 6,2012-06-30,23821,2307,PRIVATE
SAN FRANCISCO NEWSPAPER PUBLISHERS ASSOCIATION,145,CA SAN FRAN,TNG 52,2005-07-01,51111,2000,PRIVATE
SAN FRANCISCO WINDOW CLEANING CONTRACTORS ASSOCIATION,2050,CA SAN FRAN,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2013-03-31,62211,26393,PRIVATE
SANDERSON FARMS,1987,TX,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 455,2014-12-31,455110,1200,PRIVATE
SANTA CLARA VALLEY CONTRACTORS,1620,CA SANTA CLARA,PLUMBERS AFL-CIO (PPF) LOCAL UNION 393,2012-06-30,23822,1500,PRIVATE
SANTA CLARA VALLEY CONTRACTORS,1621,CA SANTA CLARA,PLUMBERS AFL-CIO (PPF) LOCAL UNION 393,2009-06-30,23822,1500,PRIVATE
"SANTA CLARA VALLEY CONTRACTORS, ET. AL.",1619,CA SANTA CLARA,PLUMBERS AFL-CIO (PPF) LOCAL UNION 393,2005-06-30,23822,1500,PRIVATE
"SAPPI NORTH AMERICA, INC.",1217,ME,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2233/MACHINISTS AFL-CIO (IAM) LODGE 2287,2022-06-30,322121,71,PRIVATE
SATURN CORP. (MOA),298,TN MI,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 531/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 810,2003-12-31,336111,6900,PRIVATE
SATURN CORP. (SPRING HILL SITE ? GM CORPORATION ),299,TN,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1853,2003-12-31,336111,6900,PRIVATE
"SAUDER CUSTOM FABRICATION, INC",1798,WA,BOILERMAKERS AFL-CIO (BBF) LODGE 83,2010-08-29,316999,1000,PRIVATE
SAVAGE SERVICE CORPORATION,1973,"AMARILLO, TX","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 351",2013-12-31,NA,NA,PRIVATE
SBC EAST,1890,"NATIONAL",COMMUNICATIONS WORKERS AFL-CIO (CWA) LOCAL UNION 1298 CT UNION OF TEL. WKRS.,2009-04-04,517110,5003,PRIVATE
SBC GLOBAL SERVICES,2053,MI,CWA DIST 4,2015-04-11,517110,27000,PRIVATE
SBC MIDWEST,422,"NATIONAL","CWA 4, 4034, 4319,4107, 4340, 4250, 4603, 4900",2009-04-04,517110,27000,PRIVATE
SBM SITE SERVICES,2045,CA,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2012-04-30,62211,NA,PRIVATE
SCA TISSUE,1736,WI MENSHA,PACE -,2009-06-30,322121,1000,PRIVATE
"SCHAEFER GROUP, INC., THE",2567,OH,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 290,2021-05-31,333994,NA,PRIVATE
SCHAGRIN GAS COMPANY,2253,DE,TEAMSTERS (IBT) LOCAL UNION 326 GENERAL TEAMSTERS,2017-10-09,NA,NA,PRIVATE
"SCROLL COMPRESSORS, LLC",2418,OH,CWA (84)725,2021-06-06,NA,NA,PRIVATE
"SEARS, ROEBUCK AND CO, MCMURRAY, PA PRODUCT REPAIR SERVICES",2129,"CHICAGO, IL",USW -,2016-12-31,811412,NA,PRIVATE
"SEATTLE BOILER WORKS, INC.",2366,WA,BOILERMAKERS AFL-CIO (BBF) LODGE 104,2016-10-01,NA,NA,PRIVATE
"SEATTLE BUILDING MAINT, METRO & QUALITY",801,WA KING COUNTY,SERVICE EMPLOYEES (SEIU) LOCAL UNION 6,2008-06-30,56172,1450,PRIVATE
SEATTLE CHILDREN'S HOSPITAL,1029,WA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 21,2022-01-31,621110,437,PRIVATE
SECONDARY SCHOOL SYSTEM OF THE ARCHDIOCESE OF PHILADELPHIA,865,PA,ACT -,2006-08-31,56172,NA,PRIVATE
"SERCO MANAGEMENT SERVICES, INC.",2002,DC,ATC -,2017-10-05,NA,NA,PRIVATE
"SERCO MANAGEMENT SERVICES, INC.",2003,DC,ATC -,2013-08-01,327213,1000,PRIVATE
"SERVICAR OF MICHIGAN, INC",2153,MI ROYAL OAK,TRANSIT UNION AFL-CIO (ATU) LOCAL UNION 1564,2016-08-31,485210,NA,PRIVATE
SERVICE & PARTS OPERATIONS/FLINT PROCESSING CENTER DIV. OF GEN.,1943,MI,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 659,2004-07-15,336111,3163,PRIVATE
SERVICE EMPLOYEES INTERNATIONAL UNION - LOCAL 500,2188,DC,WBNG 32035,2016-06-30,NA,NA,PRIVATE
SERVICING CONTRACTORS ASSOCIATION OF GREATER DELAWARE VALLEY (SCA & LU),1447,PA,PLUMBERS AFL-CIO (PPF) LOCAL UNION 420,2008-05-14,23822,1000,PRIVATE
SHAMRAD METAL FABRICATORS,1799,WA,BOILERMAKERS AFL-CIO (BBF) LODGE 83,2011-10-31,316999,1000,PRIVATE
SHAW'S SUPERMARKETS INC.,549,CT,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 371,2008-03-06,445110,2500,PRIVATE
SHAW'S SUPERMARKETS INC. (SOUTHERN REGION),547,RI MA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 791 WAREHOUSE EMPLOYEES UNION,2008-08-02,445110,7000,PRIVATE
SHAWNEE MISSION BOARD OF EDUCATION,98,KS,NEA DS 512,2010-06-30,611110,1200,PRIVATE
SHEET METAL & AIR CONDITIONING CONTRACTORS ASSOCIATION,945,MO KANSAS CITY,SMW 2,2007-06-30,23822,1050,PRIVATE
SHEET METAL & AIR CONDITIONING CONTRACTORS ASSOCIATION,1284,CA,SMW 104,2006-06-30,23822,3000,PRIVATE
SHEET METAL & AIR CONDITIONING CONTRACTORS ASSOCIATION,1375,CA LOS ANGELES,SMW 105,2007-06-30,23822,2000,PRIVATE
SHEET METAL & AIR CONDITIONING CONTRACTORS ASSOCIATION,1555,MI DETROIT,SMW 80,2004-05-31,23822,1250,PRIVATE
SHEET METAL & AIR CONDITIONING CONTRACTORS ASSOCIATION,1630,WI MILWAUKEE,SMW 18,2004-05-31,23822,750,PRIVATE
SHEET METAL & AIR CONDITIONING CONTRACTORS ASSOCIATION OF NYC,1373,NY,SMW 28,2009-07-31,23822,2000,PRIVATE
SHEET METAL & AIR CONDITIONING CONTRACTORS ASSOCIATION OF NYC,1374,NY NEW YORK,SMW 28,NA,23822,2000,PRIVATE
SHEET METAL & AIR CONDITIONING CONTRACTORS ASSOCIATION OF PHILADELPHIA,1370,PA,SMW 19,2016-04-30,23822,2000,PRIVATE
SHEET METAL & AIR CONDITIONING CONTRACTORS NATIONAL ASSOCIATION,1296,MO ST LOUIS,SMW 36,2006-07-31,23822,1500,PRIVATE
SHEET METAL AND AIR CONDITIONING APPRENTICESHIP AND JOURNEYMAN TRAINING FUND OF SAN DIEGO,1133,CA,OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 537,2022-07-31,NA,NA,PRIVATE
SHEET METAL CONTRACTORS ASSOCIATION,1458,PENNSYLVANIA,SMWIA 19,2013-05-31,NA,NA,PRIVATE
SHEET METAL CONTRACTORS ASSOCIATION OF CENTRAL PA-18 CTYS,1457,PA CENTRAL,SMW 19,2004-05-31,23822,1000,PRIVATE
SHEET METAL CONTRACTORS ASSOCIATION OF DC,1592,DC WASHINGTON,SMW 100,2006-06-30,23822,1000,PRIVATE
"SHELLHORN & HILL, INC.",2232,DE,TEAMSTERS (IBT) LOCAL UNION 326 GENERAL TEAMSTERS,2017-06-30,NA,NA,PRIVATE
SHELLHORN & HILL. INC. (DRIVERS),2259,DE,TEAMSTERS (IBT) LOCAL UNION 326 GENERAL TEAMSTERS,2017-07-31,NA,NA,PRIVATE
"SHIELD SERVICES, LLC. (NON SUPERVISORY SECURITY GUARD)",3684,TX,OPEIU 4873,2014-07-31,NA,NA,PRIVATE
"SHIELD SERVICES, LLC. (PROTECTIVE SECURITY OFFICERS, DEA SECURITY OFFICERS)",3685,MN,UGSOA 80,2014-09-30,NA,NA,PRIVATE
SHOP RITE BUONADONNA,1985,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500,2016-12-31,445110,2200,PRIVATE
SHOP RITE DIV OF ZALLIE SUPERMARKETS INC.,563,NJ,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1360,2005-04-30,445110,1050,PRIVATE
"SHOP RITE SUPERMARKETS (MEAT, POULTRY, DELI)",614,NJ NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 464 A,2007-08-18,445110,3950,PRIVATE
"SHOP RITE SUPERMARKETS (MLTK & KMLT, LLC)",2066,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500,2016-08-06,445110,1500,PRIVATE
SHOP RITE SUPERMARKETS (MOA),676,NJ NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1262,2009-04-18,445110,17000,PRIVATE
SHOP RITE SUPERMARKETS GLASS GARDENS,2065,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500,2016-07-23,445110,1500,PRIVATE
SHOPPERS FOOD WAREHOUSE,559,MD,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 400,2012-07-07,445110,1850,PRIVATE
SHOPPERS FOOD WAREHOUSE,685,DC MD VA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 400,2008-07-05,445110,3400,PRIVATE
SHOPRITE (NY CITY & 5 COUNTYS),641,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500,2010-09-23,445110,2000,PRIVATE
SHOPRITE (NY CITY & 5 COUNTYS),642,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500,2016-08-06,445110,2000,PRIVATE
SHOPRITE (NY CITY & 5 COUNTYS),643,NY,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500,2006-09-30,445110,2000,PRIVATE
"SIEGFRIED USA, LLC.",2538,NJ,TEAMSTERS (IBT) LOCAL UNION 676,2022-01-17,325412,82,PRIVATE
SIGNATORY CONTRACTORS,1272,12 WSTRN STATES,BOILERMAKERS AFL-CIO (BBF) LODGE 101/BOILERMAKERS AFL-CIO (BBF) LODGE 11,2004-09-30,23892,3000,PRIVATE
SIGNATORY CONTRACTORS,1279,FL GA+7 STATES,BBF -,2003-07-31,23622,4900,PRIVATE
SIGNATORY EMPLOYERS HERETO,1810,U.S.,BBF -,2013-10-31,23890,1000,PRIVATE
"SIGNATURE CONDOMINIUMS, LLC",2341,NV,CWU 226,2019-05-31,NA,NA,PRIVATE
SIL-BASE COMPANY,2120,PA,"STEELWORKERS, AFL-CIO (USW) LOCAL UNION 10 5852 S",2017-09-14,334111,NA,PRIVATE
"SIMPSON TACOMA KRAFT COMPANY, LLC",2436,WA,BCTD PIERCE COUNTY,2017-08-31,NA,NA,PRIVATE
SINGER EQUIPMENT COMPANY,1126,PA,TEAMSTERS (IBT) LOCAL UNION 429,2024-08-24,423440,70,PRIVATE
SITE IMPROVEMENT ASSOCIATION,1434,MO ST LOUIS,LABORERS  (LIUNA) LOCAL UNION 110/LABORERS  (LIUNA) LOCAL UNION 42,2004-03-01,23891,4300,PRIVATE
"SKY LEASE I, INC",2424,NC,SLPA ,2017-12-31,NA,NA,PRIVATE
"SMACNA- WESTERN WASHINGTON, INC.",1016,WA,SMW 66,2009-05-31,23822,3000,PRIVATE
"SMACNA-WESTERN WASHINGTON, INC.",1014,WA WESTERN,SMW 66,2004-05-31,23822,3000,PRIVATE
"SMACNA-WESTERN WASHINGTON, INC.",1015,WA WESTERN,SMW 66,2012-05-31,23822,3000,PRIVATE
SMARCA INC METRO AREA DIV (COMML METRO),1412,MN,SMW 10,2006-04-30,23822,3000,PRIVATE
SMITH FOOD & DRUG CENTERS INC.,2024,WY,UFCW 7,2014-07-26,445110,2000,PRIVATE
"SMITHFIELD PACKING COMPANY, INC.",917,VA SMITHFIELD,LABORERS  (LIUNA) LOCAL UNION 1046,2006-06-30,311611,1500,PRIVATE
SNE ENTERPRISES INC,109,WI MOSINEE,UBC 1594,2007-12-09,321911,1000,PRIVATE
SOLAR COMPOUNDS CORPORATION,870,NJ,"STEELWORKERS, AFL-CIO (USW) LOCAL UNION 4 397",2021-07-31,NA,20,PRIVATE
SOLAR TURBINES INC.,328,CA SAN DIEGO,MACHINISTS AFL-CIO (IAM) LODGE 389,2005-05-29,336412,1300,PRIVATE
SOLIDARITY CENTER,2189,DC,WBNG 32035,2016-09-25,NA,NA,PRIVATE
SONYMA: STATE OF NEW YORK MORTGAGE AGENCY,1930,NY,UAW 2110,2011-04-30,813319,2771,PRIVATE
SOUTHEAST MISSOURI CONTRACTORS' ASSOCIATION,2240,MO,LABORERS  (LIUNA) LOCAL UNION 1104/LABORERS  (LIUNA) LOCAL UNION 916,2006-02-28,NA,NA,PRIVATE
SOUTHEASTERN MICHIGAN CHAPTER NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION INC.,1316,MI,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 58,2004-06-26,NA,NA,PRIVATE
SOUTHERN CA CONTRACTORS (INDEPENDENTS),1118,CA SOUTHERN,PLUMBERS AFL-CIO (PPF) DISTRICT COUNCIL 16,2008-06-30,23822,11000,PRIVATE
SOUTHERN CA DRYWALL FINISHERS,1311,CA FULLERTON,PAINTERS AFL-CIO (PAT) DISTRICT COUNCIL 36,2006-09-30,23831,1000,PRIVATE
SOUTHERN CA DRYWALL/LATHING MASTER AGMT,980,CA SOUTHERN,UBC SCCC,2006-06-30,23831,1000,PRIVATE
SOUTHERN CA GENERAL CONTRACTORS,1117,CA SOUTHERN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 500,2009-06-30,238140,1730,PRIVATE
SOUTHERN CA MAINTENANCE CONTRACTORS MARKET AGREEMENT,538,CA SOUTHERN,SERVICE EMPLOYEES (SEIU) LOCAL UNION 1877,2009-02-28,445110,1800,PRIVATE
SOUTHERN CA MECHANICAL CONTRACTORS ASSOCIATION,1119,CA SOUTHERN,PLUMBERS AFL-CIO (PPF) DISTRICT COUNCIL 16,2008-06-30,23822,11000,PRIVATE
"SOUTHERN CALIFORNIA CONTRACTORS ASSOCIATION, INC.",2140,CA,LABORERS  (LIUNA) LOCAL UNION 1184,2018-06-30,237310,NA,PRIVATE
SOUTHERN CALIFORNIA EDISON CO,526,CA,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 47,2008-12-31,221210,1468,PRIVATE
SOUTHERN CALIFORNIA EDISON CO,527,CA,UTILITY WORKERS AFL-CIO (UWU) LOCAL UNION 246,2008-06-30,221210,1468,PRIVATE
SOUTHERN CALIFORNIA EDISON CO,528,CA SOUTHERN,UTILITY WORKERS AFL-CIO (UWU) LOCAL UNION 246,2008-06-30,221210,1468,PRIVATE
SOUTHERN CALIFORNIA EDISON CO.,477,CA,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 47,2008-12-31,221210,4250,PRIVATE
SOUTHERN CALIFORNIA EDISON CO.,478,CA,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 47,2005-12-31,221210,4250,PRIVATE
SOUTHERN CALIFORNIA EDISON CO.,479,CA,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 47,2008-12-31,221210,4250,PRIVATE
SOUTHERN CALIFORNIA GAS CO.,489,CA SOUTHERN,"UWU, ICW -",2004-12-31,221210,5800,PRIVATE
SOUTHERN CALIFORNIA GENERAL CONTRACTORS,1148,CA SOUTHERN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 GEORGIA-SOUTH CAROLINA,2006-06-30,23622,35000,PRIVATE
SOUTHERN CALIFORNIA GENERAL CONTRACTORS,2142,CA SOUTHERN,LIUNA CA SOUTHERN,2018-06-30,237310,NA,PRIVATE
SOUTHERN ILLINOIS BUILDERS ASSOCIATION,1718,"IL SOUTHERN, MO",UBC DC GRTR ST LOUIS,2008-05-06,23731,3000,PRIVATE
"SOUTHERN ILLINOIS BUILDERS ASSOCIATION (BLDG DISTRICTS 7, 9)",1715,IL SOUTHERN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 SOUTHERN ILLINOIS,2008-05-06,23622,2000,PRIVATE
SOUTHERN ILLINOIS BUILDERS ASSOCIATION & CONTR ASSOCIATION,1486,IL SOUTHWEST,LABORERS  (LIUNA) DISTRICT COUNCIL 8 SOUTHWESTERN ILLINOIS,2006-07-31,23731,4000,PRIVATE
SOUTHERN ILLINOIS BUILDERS ASSOCIATION & CONTRACTORS ASSOCIATION,1203,IL,LABORERS - MASCOUTAH /  O'FALLON  670 / 742,2022-07-31,NA,NA,PRIVATE
SOUTHERN ILLINOIS BUILDERS ASSOCIATION & CONTRACTORS ASSOCIATION,1204,IL,LABORERS- EAST ST. LOUIS  100,2022-07-31,NA,NA,PRIVATE
SOUTHERN ILLINOIS BUILDERS ASSOCIATION & CONTRACTORS ASSOCIATION,1205,IL,LABORERS  (LIUNA) LOCAL UNION 397,2022-07-31,NA,NA,PRIVATE
"SOUTHERN ILLINOIS CARBONDALE, BOARD OF TRUSTEES",2109,IL,LABORERS  (LIUNA) LOCAL UNION 773,2018-08-14,611310,NA,PRIVATE
SOUTHERN NEVADA CEMENT MASONS,1887,NV,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 797,2012-06-30,238140,2176,PRIVATE
SOUTHERN NEVADA CEMENT PLASTERERS,1885,NV,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 797,2012-06-30,238140,2176,PRIVATE
SOUTHERN NEVADA CHAPTER OF NECA,957,NV,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 357,2012-05-31,23821,1250,PRIVATE
SOUTHERN NEW ENGLAND TELECOMMUNICATIONS,438,CT,COMMUNICATIONS WORKERS AFL-CIO (CWA) LOCAL UNION 1298 CT UNION OF TEL. WKRS.,2009-04-04,517110,6000,PRIVATE
SOUTHWEST AIRLINES CO.,2413,TX,TRANSPORT WORKERS AFL-CIO (TWU) LOCAL UNION 222,2021-02-18,NA,NA,PRIVATE
SOUTHWEST AREA BUILDERS,2487,MN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 MINNESOTA-NORTH DAKOTA,2019-04-30,NA,NA,PRIVATE
SOUTHWEST LABORERS DISTRICT COUNCIL,1900,NM,LIUNA 154,2010-04-30,212321,1252,PRIVATE
"SOUTHWESTERN BELL TELEPHONE, L.P.",439,"DE, TX",CWA ,2009-04-04,NA,NA,PRIVATE
"SOUTHWESTERN LINE CONSTRUCTORS, NECA (OUTSIDE)",1095,NM,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 611,2006-06-30,23821,1500,PRIVATE
"SPIRIT AEROSYSTEMS, INC.",2081,KS,MACHINISTS AFL-CIO (IAM) LODGE 839,2020-06-27,54171,1000,PRIVATE
"SPRINT-FLORIDA INC., SOUTH AREA",451,FL,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 199,2005-07-01,517110,950,PRIVATE
SSP AMERICA,2545,NV,CULINARY WORKERS UNION  226,2023-06-01,NA,NA,PRIVATE
ST. CLOUD AREA BUILDERS,2496,MN,LIUNA ,2019-04-30,NA,NA,PRIVATE
ST. JOHN'S RIVERSIDE HOSPITAL (ANDRUS PAVILION),2498,NY,SEIU 1199,2004-10-31,NA,NA,PRIVATE
ST. JOHN'S RIVERSIDE HOSPITAL (PARK CARE PAVILION),2499,NY,SEIU 1199,2004-10-31,NA,NA,PRIVATE
ST. LOUIS AUTO DEALERS ASSOCIATION,694,MO ST LOUIS,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 9,2007-09-30,441110,1500,PRIVATE
ST. LUKE'S-ROOSEVELT HOSPITAL CENTER (RNS),840,NY NEW YORK,ANA/NYSNA  -,2004-12-31,62211,2000,PRIVATE
ST. LUKES-ROOSEVELT HOSPITAL CENTER,841,NY,NURSES NY STATE ASSOC.,2010-12-31,62211,2000,PRIVATE
"ST. MARYS CEMENT, INC (US)",2461,MI,BOILERMAKERS AFL-CIO (BBF) LODGE 480 D CEMENT WORKERS,2020-04-30,NA,NA,PRIVATE
ST. PAUL GROCERY EMPLOYERS (MEAT & GROCERY),630,MN ST PAUL,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 789,2005-03-05,445110,5000,PRIVATE
ST. VINCENT MERCY MEDICAL CENTER (NURSING),1915,OH,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 12,2009-10-24,922120,1100,PRIVATE
ST. VINCENT MERCY MEDICAL CENTER (SERVICE),1914,OH,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 12,2009-10-24,922120,1100,PRIVATE
STANDARD STEEL LLC,196,PA BURNHAM,"STEELWORKERS, AFL-CIO (USW) LOCAL UNION 10 1940 S",2007-04-01,331111,900,PRIVATE
STANFORD HEALTH SERVICES (RNS),847,CA STANFORD,CRONA -,2007-03-31,62211,1100,PRIVATE
STANFORD HOSP.& CLINICS/ LUCILE PACKARD CHILDREN'S HOSP,1113,CA,SERVICE EMPLOYEES (SEIU) LOCAL UNION 715,2008-11-04,62211,1200,PRIVATE
