Employer.Name,CBA.File,Location,Union,Expiration.Date,NAICS.,X.Wrkrs,Type
"AGC, CA SAN DIEGO",1153,CA SAN DIEGO,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 12",2007-06-30,23621,1700,PRIVATE
"AGC, CO",1497,CO,UBC MWRCC,2007-04-30,23622,1200,PRIVATE
"AGC, CT & CCIA BLDG CONTRACTORS (BLDG)",1212,CT,LABORERS  (LIUNA) LOCAL UNION 390/LABORERS  (LIUNA) LOCAL UNION 449/LABORERS  (LIUNA) LOCAL UNION 455/LABORERS  (LIUNA) LOCAL UNION 46/LABORERS  (LIUNA) LOCAL UNION 547/LABORERS  (LIUNA) LOCAL UNION 665/LABORERS  (LIUNA) LOCAL UNION 675,2005-03-31,NA,NA,PRIVATE
"AGC, CT & CCIA BLDG CONTRACTORS (BLDG)",1213,CT,LABORERS  (LIUNA) DISTRICT COUNCIL 0 CONNECTICUT,2012-03-31,23621,1500,PRIVATE
"AGC, CT/CCIA & MASON CONTRACTORS ASSOCIATION (BLDG)",1220,CT,BAC 1,2012-03-31,23622,1070,PRIVATE
"AGC, CT/CCIA & MASON CONTRACTORS ASSOCIATION (BLDG)",1221,CT,BAC 1,2006-03-31,23622,1070,PRIVATE
"AGC, GA - ATLANTA",1416,GA ATLANTA,UBC 225,2007-06-30,23621,1300,PRIVATE
"AGC, IL",1788,IL,CJA -,NA,23622,1000,PRIVATE
"AGC, IL - CENTRAL IL BUILDERS",1671,IL CENTRAL,LABORERS  (LIUNA) LOCAL UNION 159/LABORERS  (LIUNA) LOCAL UNION 171/LABORERS  (LIUNA) LOCAL UNION 253/LABORERS  (LIUNA) LOCAL UNION 477/LABORERS  (LIUNA) LOCAL UNION 624/LABORERS  (LIUNA) LOCAL UNION 703,2008-04-30,23622,1300,PRIVATE
"AGC, IL - CENTRAL IL BUILDERS, ET .AL.",1432,IL CENTRAL,CJA MID-CNTRL IL DC,2009-04-30,23622,4500,PRIVATE
"AGC, IL - CENTRAL IL BUILDERS, ET .AL.",1433,IL CENTRAL,UBC MID-CNTRL IL DC,2006-04-30,23622,4500,PRIVATE
"AGC, IL - EASTERN & OTHERS",919,IL EASTERN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 841",2007-12-31,23622,1000,PRIVATE
"AGC, IL -(EGYPTIAN CONTRACTORS ASSOCIATION)",1530,IL,CJA -,2008-04-30,23622,1000,PRIVATE
"AGC, IL (HWY-HVY) HIGHWAY DISTRICT 5",903,IL CENTRAL,LIUNA CNTRL IL DC,2008-04-30,23731,1800,PRIVATE
"AGC, IL (HWY-HVY) HIGHWAY DISTRICT 6",904,IL CENTRAL,LIUNA CNTRL IL DC,2009-04-30,23731,2300,PRIVATE
"AGC, IL (HWY-HVY) HIGHWAY DISTRICTS 1-8",930,IL,UBC D&RC,2006-07-31,23731,11100,PRIVATE
"AGC, IL (SEVEN COUNTIES)",2141,CA,LABORERS  (LIUNA) LOCAL UNION 231,2016-04-30,237310,NA,PRIVATE
"AGC, IL EGYPTIAN CONTRACTORS INC. ET AL (HVY/HWY DISTRICT 7&9)",905,IL SOUTHERN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 SOUTHERN ILLINOIS,2008-03-31,23731,1200,PRIVATE
"AGC, IN",1422,IN INDIANAPOLIS,UBC IN RCC-CNTRL,2008-05-31,23622,4800,PRIVATE
"AGC, IN",1574,IN,LABORERS  (LIUNA) LOCAL UNION 1047/LABORERS  (LIUNA) LOCAL UNION 1112/LABORERS  (LIUNA) LOCAL UNION 120/LABORERS  (LIUNA) LOCAL UNION 204/LABORERS  (LIUNA) LOCAL UNION 274/LABORERS  (LIUNA) LOCAL UNION 741,2008-05-31,23622,4600,PRIVATE
"AGC, IN",1686,IN INDIANAPOLIS,LABORERS  (LIUNA) LOCAL UNION 1047/LABORERS  (LIUNA) LOCAL UNION 1112/LABORERS  (LIUNA) LOCAL UNION 120/LABORERS  (LIUNA) LOCAL UNION 204/LABORERS  (LIUNA) LOCAL UNION 274/LABORERS  (LIUNA) LOCAL UNION 741,2005-05-31,23622,1500,PRIVATE
"AGC, IN - SOUTHWEST",1685,IN EVANSVILLE,LABORERS  (LIUNA) LOCAL UNION 561,2006-03-31,23622,1100,PRIVATE
"AGC, IN (BLDG, SEWER, WATER, UTILITY)",916,IN SOUTHEAST,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181",2006-03-31,23731,2800,PRIVATE
"AGC, IN (SOUTHERN BRANCH)",1952,IN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 821,2017-04-30,238140,1730,PRIVATE
"AGC, IN (SOUTHERN BRANCH)",1953,IN,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692/PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 821,2012-04-30,238140,1730,PRIVATE
"AGC, MA",1149,MA,LIUNA -,2008-05-31,NA,NA,PRIVATE
"AGC, MA (BUILDING & SITE)",1151,MA,LABORERS  (LIUNA) LOCAL UNION 133/LABORERS  (LIUNA) LOCAL UNION 138/LABORERS  (LIUNA) LOCAL UNION 157/LABORERS  (LIUNA) LOCAL UNION 175/LABORERS  (LIUNA) LOCAL UNION 22/LABORERS  (LIUNA) LOCAL UNION 223/LABORERS  (LIUNA) LOCAL UNION 243/LABORERS  (LIUNA) LOCAL UNION 385/LABORERS  (LIUNA) LOCAL UNION 39/LABORERS  (LIUNA) LOCAL UNION 429/LABORERS  (LIUNA) LOCAL UNION 473/LABORERS  (LIUNA) LOCAL UNION 560/LABORERS  (LIUNA) LOCAL UNION 596/LABORERS  (LIUNA) LOCAL UNION 609/LABORERS  (LIUNA) LOCAL UNION 610 CONSTRUCTION/LABORERS  (LIUNA) LOCAL UNION 721/LABORERS  (LIUNA) LOCAL UNION 876/LABORERS  (LIUNA) LOCAL UNION 999,2012-05-31,23922,5500,PRIVATE
"AGC, MA & BTEA",1350,MA BOSTON,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 7,2006-09-15,23622,1200,PRIVATE
"AGC, MA & BTEA OF BOSTON & E. MA (BLDG & SITE)",1150,MA BOSTON,LABORERS  (LIUNA) DISTRICT COUNCIL 0 MASSACHUSETTS,2008-05-31,23622,5500,PRIVATE
"AGC, MA & BTEA OF BOSTON & EASTER MA",1160,MA EASTERN,UBC VARIOUS LOCALS,2015-08-31,236115,3600,PRIVATE
"AGC, MA & BTEA OF BOSTON & EASTER MA",1269,MA EASTERN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 4",2011-05-31,23622,3600,PRIVATE
"AGC, MA & BTEA OF BOSTON & EASTER MA",1270,MA EASTERN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 4",2008-05-31,23622,3600,PRIVATE
"AGC, MA & BTEA OF BOSTON & EASTER MA",1271,MA EASTERN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 4",2008-05-31,23622,3600,PRIVATE
"AGC, MA, BTEA OF BOSTON",1161,MA BOSTON,"UBC 26, 33, 40,67,107, 111, 218, 275, 424, 475, 535, 624, 723, AND 1035",2012-08-31,236115,10400,PRIVATE
"AGC, MD - BALTIMORE",1417,MD BALTIMORE,UBC BALTIMORE DC,2008-03-31,23622,2000,PRIVATE
"AGC, MD (BLDG CONSTRUCTION)",1435,MD BALTIMORE,LABORERS  (LIUNA) LOCAL UNION 194,2008-03-31,23622,2000,PRIVATE
"AGC, MD (BUILDING)",966,MD BALTIMORE,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 37",2008-03-31,23622,1200,PRIVATE
"AGC, MI",1164,MI SAGINAW,UBC 706,2006-07-16,23622,1375,PRIVATE
"AGC, MI",1165,MI SAGINAW,UBC 706,2006-07-16,23622,1375,PRIVATE
"AGC, MI - GREATER DETROIT",1141,MI SOUTHEAST,TEAMSTERS (IBT) LOCAL UNION 247/TEAMSTERS (IBT) LOCAL UNION 339/TEAMSTERS (IBT) LOCAL UNION 614,2003-06-01,23622,4000,PRIVATE
"AGC, MI - GREATER DETROIT",1142,MI SOUTHEAST,TEAMSTERS (IBT) LOCAL UNION 247/TEAMSTERS (IBT) LOCAL UNION 339/TEAMSTERS (IBT) LOCAL UNION 614,2003-06-01,23622,4000,PRIVATE
"AGC, MI - GREATER DETROIT",1531,MI DETROIT,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 324",2006-06-01,23622,7500,PRIVATE
"AGC, MI - GREATER DETROIT",1532,MI DETROIT,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 324",2006-06-01,23622,7500,PRIVATE
"AGC, MI - UPPER PENINSULA",1189,MI ESCANABA,UBC MI RC,2010-04-30,23622,1100,PRIVATE
"AGC, MI (MONROE COUNTY)",1022,MI MONROE CNTY,LABORERS  (LIUNA) LOCAL UNION 465,2006-06-01,23622,1000,PRIVATE
"AGC, MI (MONROE COUNTY)",1023,MI MONROE CNTY,LABORERS  (LIUNA) LOCAL UNION 465,2006-06-01,23622,1000,PRIVATE
"AGC, MI (OAKLAND & LIVINGSTON COUNTIES)",1169,MI OAKLAND CTY,LABORERS  (LIUNA) LOCAL UNION 1076,2006-06-01,23622,1500,PRIVATE
"AGC, MI (OAKLAND & LIVINGSTON COUNTIES)",1170,MI OAKLAND CTY,LABORERS  (LIUNA) LOCAL UNION 1076,2006-06-01,23622,1500,PRIVATE
"AGC, MI (WAYNE & MACOMB COUNTIES)",1020,MI WAYNE CNTY,LABORERS  (LIUNA) LOCAL UNION 334,2006-06-01,23622,1700,PRIVATE
"AGC, MI (WAYNE & MACOMB COUNTIES)",1021,MI WAYNE CNTY,LABORERS  (LIUNA) LOCAL UNION 334,2006-06-01,23622,1700,PRIVATE
"AGC, MI & INDEPENDENTS-GREATER DETROIT",1472,MI SOUTH CENTRAL,UBC RC,2003-06-01,23622,5500,PRIVATE
"AGC, MI & INDEPENDENTS-GREATER DETROIT",1473,MI SOUTH CENTRAL,UBC RC,2003-06-01,23622,5500,PRIVATE
"AGC, MI & LENAWEE CONTRACTORS' ASSOCIATION.",878,MI SOUTH CENTRAL,UBC 1004,2003-05-31,23621,1200,PRIVATE
"AGC, MI & LENAWEE CONTRACTORS' ASSOCIATION.",877,MI SOUTH CENTRAL,UBC 1004,2003-05-31,23621,1200,PRIVATE
"AGC, MI & SOUTHWESTERN MI CONTRACTORS ASSOCIATION (BLDG)",1108,MI SW,LABORERS  (LIUNA) LOCAL UNION 355,2007-05-31,23621,1130,PRIVATE
"AGC, MI & SOUTHWESTERN MI CONTRACTORS ASSOCIATION (BLDG)",1109,MI SW,LABORERS  (LIUNA) LOCAL UNION 355,2007-05-31,23621,1130,PRIVATE
"AGC, MI & SOUTHWESTERN MICHIGAN CONTRACTORS ASSOCIATION.",1227,MI SOUTHWEST,UBC MI RC,2006-05-31,23622,1000,PRIVATE
"AGC, MI & SOUTHWESTERN MICHIGAN CONTRACTORS ASSOCIATION.",1228,MI SOUTHWEST,UBC MI RC,2006-05-31,23622,1000,PRIVATE
"AGC, MN",1088,"MI, ND, NW, WI",OPCMIA 633,2014-04-30,NA,NA,PRIVATE
"AGC, MN",1643,MN,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 512,2007-04-30,23622,1000,PRIVATE
"AGC, MN",1644,MN ST PAUL,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 512,2004-04-30,23622,1000,PRIVATE
"AGC, MN",1645,MN ST PAUL,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 512,2004-04-30,23622,1000,PRIVATE
"AGC, MN (HVY-HWY-RR)",1086,MN MINN-ST PAUL,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633,2008-04-30,23731,1200,PRIVATE
"AGC, MN (HVY-HWY-RR)",1087,MN MINN-ST PAUL,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633,2008-04-30,23731,1200,PRIVATE
"AGC, MN (HVY-HWY-RR)",1242,MN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 49",2008-04-30,23731,4200,PRIVATE
"AGC, MN (HVY-HWY-RR)",1243,MN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 49",2008-04-30,23731,4200,PRIVATE
"AGC, MN (HVY-HWY-RR)",1699,MN,TEAMSTERS (IBT) LOCAL UNION 160/TEAMSTERS (IBT) LOCAL UNION 346,2009-04-30,23731,1000,PRIVATE
"AGC, MN (HVY-RAILROAD & HVY CONSTRN DIV)",1505,MN,CJA -,2008-04-30,23622,1000,PRIVATE
"AGC, MN & MN CONCR & MASONRY CONTR",1083,MN MINN-ST PAUL,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633,2007-04-30,23814,1200,PRIVATE
"AGC, MN & MN CONCR & MASONRY CONTR",1084,MN MINN-ST PAUL,PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633,2007-04-30,23814,1200,PRIVATE
"AGC, MN & MN CONCR & MASONRY CONTR (METRO BLDG)",1695,MN MINNEAPOLIS,LABORERS  (LIUNA) LOCAL UNION 132,2007-04-30,23622,3500,PRIVATE
"AGC, MN & MN CONCR & MASONRY CONTR (METRO BLDG)",1696,MN MINNEAPOLIS,LABORERS  (LIUNA) LOCAL UNION 132,2007-04-30,23622,3500,PRIVATE
"AGC, MN & MN CONCRETE & MASONRY CONTRACTOR",1176,MN ST PAUL,BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 1,2007-04-30,23814,1500,PRIVATE
"AGC, MN & MN CONCRETE & MASONRY CONTRACTOR",1177,MN ST PAUL,BRICKLAYERS AFL-CIO (BAC) LOCAL UNION 1,2007-04-30,23814,1500,PRIVATE
"AGC, MN BUILDERS DIVISION",1180,MN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 49",2007-04-30,23622,1700,PRIVATE
"AGC, MN BUILDERS DIVISION",1181,MN,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 49",2007-04-30,23622,1750,PRIVATE
"AGC, MN ET. AL. (HVY-HWY)",1745,MN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 MINNESOTA-NORTH DAKOTA,2008-04-30,23731,4250,PRIVATE
"AGC, MN ET. AL. (HVY-HWY)",1746,MN,LABORERS  (LIUNA) DISTRICT COUNCIL 0 MINNESOTA-NORTH DAKOTA,2008-04-30,23731,4250,PRIVATE
"AGC, MN, CCA, & MDPA",1178,MN ST PAUL,CCA CJA RC,2005-04-30,23622,7000,PRIVATE
"AGC, MN, CCA, & MDPA",1179,MN ST PAUL,UBC RC,2007-04-30,23622,7000,PRIVATE
"AGC, MO",1003,MO,LABORERS  (LIUNA) LOCAL UNION 424,2009-05-01,NA,NA,PRIVATE
"AGC, MO",1004,MO,LABORERS  (LIUNA) DISTRICT COUNCIL 0 EASTERN MO. LABORERS DIST. COUNCIL,2014-04-30,23731,2500,PRIVATE
"AGC, MO",1008,MO,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 513",2009-04-30,23731,3000,PRIVATE
"AGC, MO",1012,MO,CJA KC & STL DCS,2010-04-30,23731,NA,PRIVATE
"AGC, MO",1013,MO,CJA -,2006-04-30,NA,NA,PRIVATE
